Suburb,Latitude,Longitude
Albert Park,-37.8477725,144.96200797154074
Middle Park,-37.8511511,144.9620399
West St Kilda,-37.8638261,144.981637
Armadale,-37.8567619,145.0206905
Carlton North,-37.7845585,144.9728553
Carlton,-37.8004228,144.9684343
Parkville,-37.7871148,144.9515533
CBD,-37.8152834,144.9618789
St Kilda Rd,-37.8358215,144.9763639
Collingwood,-37.802104,144.9881387
Abbotsford,-37.8045508,144.9988542
Docklands,-37.8175423,144.9394923
East Melbourne,-37.812498,144.9858851
East St Kilda,-37.8638261,144.981637
Elwood,-37.8788568,144.9855487
Fitzroy,-37.8010382,144.9792611
Fitzroy North,-37.7833316,144.9837074
Clifton Hill,-37.78887735,144.99536265376906
Flemington,-37.7867587,144.9193668
Kensington,-37.7939378,144.9305645
North Melbourne,-37.8076092,144.9423514
West Melbourne,-37.81044755,144.92042979350134
Port Melbourne,-37.8333613,144.9219203
Prahran,-37.8519135,145.0005993
Windsor,-37.8545227,144.9921665
Richmond,-37.8203955,145.0025153
Burnley,-37.82762235,145.0080911963464
South Melbourne,-37.8334603,144.9570188
South Yarra,-37.8377695,144.9918537
Southbank,-37.8253618,144.9640203
St Kilda,-37.8638261,144.981637
Toorak,-37.8416141,145.0176215
Balwyn,-37.8091737,145.0833678
Blackburn,-37.82008355,145.15002117835627
Box Hill,-37.81393,145.12376236010468
Bulleen,-37.7663109,145.12128101475844
Templestowe,-37.7540588,145.1486152
Doncaster,-37.7848299,145.1238431
Burwood,-37.851671,145.0805767
Ashburton,-37.862047,145.0812907
Camberwell,-37.8384623,145.0740767
Glen Iris,-37.855814,145.0646117
Canterbury,-37.8247469,145.0807636
Surrey Hills,-37.8241183,145.0986212
Mont Albert,-37.819535,145.1055334
Chadstone,-37.8822799,145.1001365
Oakleigh,-37.9007001,145.0956739
Clayton,-37.9173212,145.1304242
Doncaster East,-37.7788744,145.1638815
Donvale,-37.7898094,145.1914915
Glen Waverley,-37.8797175,145.1629331
Mulgrave,-37.9319869,145.1817988109604
Hawthorn,-37.8244246,145.0317207
Kew,-37.8033586,145.0333285
Mount Waverley,-37.8752637,145.1281258
Nunawading,-37.8204496,145.1752107
Mitcham,-37.8180423,145.1928735
Vermont,-37.8384616,145.1993471
Forest Hill,-37.8362738,145.1690911
Burwood East,-37.8535935,145.150423
Aspendale,-38.0272365,145.1021263
Chelsea,-38.0518344,145.1158466
Carrum,-38.0783895,145.1232748
Bentleigh,-37.9175354,145.0369346
Brighton,-37.9081962,144.9957991
Brighton East,-37.9171728,145.0163663
Carnegie,-37.886029,145.0581271
Caulfield,-37.882265000000004,145.02246283740942
Cheltenham,-37.9670081,145.0546951
Elsternwick,-37.8858425,145.0070152
Hampton,-37.9381127,145.0014764
Beaumaris,-37.9822122,145.0389098
Malvern,-37.8576088,145.0350666
Malvern East,-37.876835,145.0658739
Mentone,-37.9820188,145.0651242
Parkdale,-37.9918673,145.081286
Mordialloc,-38.01312,145.09808870063995
Murrumbeena,-37.8968653,145.0703808
Hughesdale,-37.894291,145.0764309
Altona,-37.8672062,144.830142
Footscray,-37.8015202,144.9025869
Keilor East,-37.7375531,144.85744950114827
Avondale Heights,-37.7614537,144.862141
Melton,-37.7068658,144.5454255199667
Newport,-37.8427411,144.8835623
Spotswood,-37.830631,144.885925
St Albans,-37.7445766,144.79970234688483
Deer Park,-37.7686602,144.7713077
Sunshine,-37.788095299999995,144.83260045
Sydenham,-37.6997223,144.7653295
Werribee,-37.9078479,144.64209691445848
Hoppers Crossing,-37.88325,144.7011019
West Footscray,-37.8017432,144.8840729452263
Williamstown,-37.8611788,144.8898569
Yarraville,-37.8158955,144.8899037
Seddon,-37.8090562,144.8956199
Broadmeadows,-37.682938750000005,144.91957535173304
Roxburgh Park,-37.6376918,144.9355238
Brunswick,-37.7664715,144.9613103
Coburg,-37.7449752,144.9643314
Pascoe Vale South,-37.7434265,144.9384767
Craigieburn,-37.6022837,144.9430805
East Brunswick,-37.7688802,144.9776825
Essendon,-37.755962999999994,144.91617790401142
Gladstone Park,-37.6898311,144.8944658
Tullamarine,-37.704658,144.8717732
Keilor,-37.7113545,144.8250696
Moonee Ponds,-37.765575,144.9212864
Ascot Vale,-37.775316,144.921849
Oak Park,-37.7179979,144.9215308
Glenroy,-37.7046061,144.9173406970003
Fawkner,-37.7146727,144.9605203
Pascoe Vale,-37.7308099,144.9282189
Coburg North,-37.7243394,144.9675896
Sunbury,-37.553405,144.71347879310343
West Brunswick,-37.7664715,144.9613103
Bundoora,-37.697305650000004,145.06625435609772
Greensborough,-37.7040276,145.1082164336504
Hurstbridge,-37.63946,145.1921774
Eltham,-37.717870000000005,145.15669012917934
Research,-37.7066557,145.189067
Montmorency,-37.7152592,145.1214652
Fairfield,-37.7791933,145.017005
Alphington,-37.7783953,145.0312823
Heidelberg,-37.7524788,145.0701284
Heidelberg West,-37.7382431,145.0433922
Ivanhoe,-37.768844,145.0455919
Ivanhoe East,-37.7733903,145.0617815
Mill Park,-37.643871250000004,145.06492155517242
Epping,-37.652246250000005,145.03106034704467
Northcote,-37.77308,145.01032454775785
Preston,-37.721400349999996,145.0099893570872
Reservoir,-37.7168415,145.0069944
Thomastown,-37.632210650000005,144.9924349066651
Lalor,-37.662922,145.003955
Thornbury,-37.7550276,144.9986139
Whittlesea,-37.46594,145.12181068501638
Bayswater,-37.8413656,145.2677624
Boronia,-37.860645,145.2848446
Croydon,-37.7954483,145.2804735
Lilydale,-37.7556696,145.3475477
Ferntree Gully,-37.8815788,145.2951489
Ringwood,-37.8159197,145.2289042
Rowville,-37.9239267,145.2447672
Wantirna,-37.8523357,145.2259721
Scoresby,-37.9025786,145.2183066
Yarra Ranges,-37.7295526,145.4981195
Berwick,-38.0396628,145.3449342
Cranbourne,-38.1067381,145.27847024858954
Dandenong,-37.985605,145.2121610759906
Dandenong North,-37.9558319,145.2143234
Endeavour Hills,-37.9702665,145.2563443
Narre Warren,-38.0276567,145.3036255
Hampton Park,-38.0367368,145.2590312
Noble Park,-37.9663213,145.1758464
Pakenham,-38.0803615,145.4858119
Springvale,-37.9491329,145.1531926
